user_id,gender,married,has_children,home_country,tenure,age,seats_avg,checked_bags_avg,overcarrier,total_trips,cancellation_rate,unique_flight_destination,taken_flights,frequent_destinations,sessions_booking_rate,discount_booking_rate,booked_flight,booked_hotel,group
94883,F,True,False,usa,1509,54,1.5,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
101486,F,True,True,usa,1499,53,1.0,0.0,False,2,0.0,1.0,2,0.5,0.25,0.0,True,True,low_income
101961,F,True,False,usa,1499,45,1.0,0.4,False,5,0.0,5.0,5,1.0,0.625,0.2,True,True,singles
106907,F,True,True,usa,1492,47,,,,1,1.0,1.0,0,inf,0.0,,False,False,no_booker
118043,F,False,True,usa,1478,53,2.0,1.0,False,5,0.0,3.0,5,0.6,0.625,0.6,True,True,singles
153982,F,False,True,canada,1438,47,1.0,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,luxus
167852,F,False,False,usa,1424,20,,,,0,,,0,,0.0,,False,False,young
174997,F,False,False,usa,1417,34,1.0,0.0,False,3,0.3333333333333333,3.0,2,1.5,0.2857142857142857,0.0,True,True,low_income
181157,F,True,False,usa,1412,55,2.0,1.0,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.6666666666666666,True,True,singles
190866,F,False,False,usa,1403,39,1.0,0.4,False,5,0.0,4.0,5,0.8,0.5555555555555556,0.0,True,True,singles
204997,F,True,False,usa,1390,40,1.0,0.5,False,4,0.5,4.0,2,2.0,0.4,0.0,True,True,singles
217114,O,True,True,usa,1379,21,,,,0,,,0,,0.0,,False,False,family_travelers
228195,F,False,True,usa,1370,29,,,,0,,,0,,0.0,,False,False,no_booker
229009,F,False,False,usa,1369,19,1.0,0.5,False,3,0.3333333333333333,3.0,2,1.5,0.3333333333333333,0.0,True,True,young
252835,F,False,True,usa,1348,40,1.0,0.6,False,5,0.0,3.0,5,0.6,0.625,0.2,True,True,singles
281952,F,False,False,usa,1324,39,1.0,1.5,True,2,0.0,2.0,2,1.0,0.25,0.5,True,True,overcarriers
283325,F,True,False,usa,1323,52,1.0,0.0,False,2,0.0,1.0,2,0.5,0.25,0.5,True,True,low_income
298253,F,True,True,usa,1311,48,1.0,2.0,True,1,0.0,1.0,1,1.0,0.125,0.0,True,False,overcarriers
299476,F,True,False,usa,1310,40,1.0,0.0,False,1,0.0,1.0,1,1.0,0.1111111111111111,0.0,True,True,low_income
306165,F,False,False,usa,1304,22,,,,0,,,0,,0.0,,False,False,no_booker
312488,M,True,False,usa,1299,32,1.0,1.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
316527,F,True,True,canada,1296,43,1.25,0.25,False,4,0.0,4.0,4,1.0,0.5,0.25,True,True,luxus
330764,F,False,False,usa,1284,41,,,,3,0.3333333333333333,1.0,2,0.5,0.3333333333333333,0.0,False,True,low_income
330893,F,True,True,usa,1284,45,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,singles
337227,F,True,False,usa,1279,36,,,,0,,,0,,0.0,,False,False,no_booker
338086,F,False,True,usa,1279,42,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
340166,M,True,True,usa,1277,52,,,,1,0.0,,1,,0.125,0.0,False,True,low_income
347778,F,False,False,usa,1271,51,1.6,1.0,False,5,0.0,4.0,5,0.8,0.5555555555555556,0.0,True,True,singles
350648,F,False,False,usa,1269,20,,,,1,1.0,1.0,0,inf,0.0,,False,False,young
353271,F,False,True,usa,1267,28,2.0,0.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
